DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
2-Jan-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,NaN,NaN,NaN,NaN
2-Jan-20,BAMB,Bamburi Cement Ltd,26,120,80,80,80,80,NaN,NaN,NaN,NaN
2-Jan-20,CRWN,Crown Paints Kenya Plc,45,85,62.5,62.5,62.5,62.5,NaN,NaN,NaN,NaN
2-Jan-20,CABL,East African Cables Ltd,1.44,3.98,2.55,2.55,2.55,2.5,0.05,2.00%,100,NaN
2-Jan-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.5,14.5,14.5,14.5,NaN,NaN,100,NaN
2-Jan-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,5.7,5.8,5.8,5.72,0.08,1.40%,"147,300",NaN
2-Jan-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,NaN,NaN,NaN,NaN
2-Jan-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,NaN,NaN,NaN,NaN
2-Jan-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,2.9,3.09,3.03,2.81,0.22,7.83%,"96,000",NaN
2-Jan-20,TOTL,Total Kenya Ltd,22,30,27.3,28.95,28.1,27.5,0.6,2.18%,300,NaN
2-Jan-20,UMME,Umeme Ltd,5.68,8.6,8.28,8.28,8.28,8.28,NaN,NaN,"3,800",NaN
2-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,8.7,9.3,9.18,9,0.18,2.00%,"81,900",NaN
2-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,2.9,2.81,2.68,0.13,4.85%,"92,800",NaN
2-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,351,-1,0.28%,"64,300",NaN
2-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,2.85,3.24,3.03,3.03,NaN,NaN,"74,500",NaN
2-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.45,10.45,10.35,0.1,0.97%,"10,500",NaN
2-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,17.2,0.8,4.65%,"23,700",NaN
2-Jan-20,CTUM,Centum Investment Company Plc,19.6,33.5,29.55,29.6,29.6,29.5,0.1,0.34%,"19,200",NaN
2-Jan-20,HAFR,Home Afrika Ltd,0.3,0.69,0.54,0.6,0.55,0.6,-0.05,8.33%,"10,800",NaN
2-Jan-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",NaN,NaN,NaN,NaN
2-Jan-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.01,2.01,2.01,2.01,NaN,NaN,NaN,NaN
2-Jan-20,TCL,Trans-Century Plc,1.42,4.03,2.5,2.5,2.5,2.5,NaN,NaN,NaN,NaN
2-Jan-20,NSE,Nairobi Securities Exchange Plc,7,13,12.05,12.9,12.55,12.35,0.2,1.62%,"35,500",NaN
2-Jan-20,BOC,BOC Kenya Plc,53,72,58,58,58,58,NaN,NaN,NaN,NaN
2-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,475,490,478,500,-22,4.40%,500,NaN
2-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8,8.3,8.18,8,0.18,2.25%,"3,000",NaN
2-Jan-20,EABL,East African Breweries Ltd,135,222.25,196,196,196,198.5,-2.5,1.26%,"1,400",NaN
2-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.47,-0.17,6.88%,200,NaN
2-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,NaN,NaN,NaN,NaN
2-Jan-20,UNGA,Unga Group Ltd,26.1,37,34,34,34,34,NaN,NaN,NaN,NaN
2-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31,31.6,31.3,31.5,-0.2,0.63%,"349,300",NaN
2-Jan-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,9.2,9.8,9.62,9.42,0.2,2.12%,"7,500",NaN
2-Jan-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,470.00","1,470.00","1,470.00","1,470.00",NaN,NaN,NaN,NaN
2-Jan-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,219.79,222.34,221.55,221.31,0.24,0.11%,NaN,NaN
2-Jan-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,227.52,230.82,229.61,229.49,0.12,0.05%,NaN,NaN
2-Jan-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","2,673.94","2,673.94","2,673.94","2,654.39",19.55,0.74%,NaN,NaN
2-Jan-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","4,101.89","4,101.89","4,101.89","4,100.57",1.32,0.03%,NaN,NaN
2-Jan-20,^NASI,NSE All-Share Index,124.3,171.36,165.98,165.98,165.98,166.41,-0.43,0.26%,NaN,NaN
2-Jan-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,187.86","2,187.86","2,187.86","2,187.60",0.26,0.01%,NaN,NaN
2-Jan-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,866.02","1,866.02","1,866.02","1,858.43",7.59,0.41%,NaN,NaN
3-Jan-20,EGAD,Eaagads Ltd,8.2,14,10.5,10.5,10.5,10.1,0.4,3.96%,900,NaN
3-Jan-20,KUKZ,Kakuzi Plc,300,423.5,340,340,340,340,NaN,NaN,100,NaN
3-Jan-20,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,NaN,NaN,NaN,NaN
3-Jan-20,LIMT,Limuru Tea Plc,385,475,450,450,450,450,NaN,NaN,NaN,NaN
3-Jan-20,SASN,Sasini Plc,14.8,19.6,16.9,17.5,17.15,16.15,1,6.19%,"1,200",NaN
3-Jan-20,WTK,Williamson Tea Kenya Plc,92,165,138,140,138.25,139,-0.75,0.54%,"1,600",NaN
3-Jan-20,CGEN,Car and General (K) Ltd,20,26,26,26,26,26,NaN,NaN,NaN,NaN
3-Jan-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,13.15,13.5,13.35,13.35,NaN,NaN,"69,200",NaN
3-Jan-20,BKG,BK Group Plc,16.4,28,28,28,28,28,NaN,NaN,NaN,NaN
3-Jan-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16.35,16.7,16.55,16.35,0.2,1.22%,"434,000",NaN
3-Jan-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,110,122,110,111,-1,0.90%,"732,600",NaN
3-Jan-20,EQTY,Equity Group Holdings Plc,30.5,55.5,54.25,55.5,55,54.25,0.75,1.38%,"230,400",NaN
3-Jan-20,HFCK,HF Group Ltd,3.49,7.9,6.48,6.7,6.56,6.34,0.22,3.47%,"84,400",NaN
3-Jan-20,IMH,I & M Holdings Plc,43.1,59,55,56,55.75,54,1.75,3.24%,"18,400",NaN
3-Jan-20,KCB,KCB Group Plc,33.75,55.5,54,55.5,55,54.25,0.75,1.38%,"392,900",NaN
3-Jan-20,NBK,National Bank of Kenya Ltd,3.4,4.33,4.12,4.12,4.12,4.12,NaN,NaN,NaN,NaN
3-Jan-20,NCBA,NCBA Group Plc,24.9,40,36.95,38,37.3,36.85,0.45,1.22%,"190,400",NaN
3-Jan-20,SBIC,Stanbic Holdings Plc,76.5,118.5,102,108,103.75,109.25,-5.5,5.03%,"1,500",NaN
3-Jan-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,201,204.75,204.25,200,4.25,2.13%,700,NaN
3-Jan-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,NaN,NaN,NaN,NaN
3-Jan-20,EVRD,Eveready East Africa Ltd,0.75,1.28,1.09,1.12,1.11,1.09,0.02,1.83%,"1,400",NaN
3-Jan-20,XPRS,Express Kenya Plc,4.15,7.34,6.84,6.84,6.84,6.84,NaN,NaN,NaN,NaN
3-Jan-20,KQ,Kenya Airways Plc,0.8,5.5,2.1,2.2,2.18,2.09,0.09,4.31%,"6,700",NaN
3-Jan-20,LKL,Longhorn Publishers Plc,4.26,8.6,6.8,6.9,6.9,6.82,0.08,1.17%,"6,100",NaN
3-Jan-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.7,0.7,0.7,0.7,NaN,NaN,NaN,NaN
3-Jan-20,NMG,Nation Media Group Plc,13,49,39.5,39.8,39.75,39.75,NaN,NaN,"6,200",NaN
3-Jan-20,SMER,Sameer Africa Plc,1.91,4.69,3.4,3.4,3.4,3.45,-0.05,1.45%,500,NaN
3-Jan-20,SGL,Standard Group Plc,18,31,27.55,27.55,27.55,27.55,NaN,NaN,NaN,NaN
3-Jan-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,17.55,17.55,17.55,17.55,NaN,NaN,200,NaN
3-Jan-20,UCHM,Uchumi Supermarket Plc,0.23,0.46,0.28,0.31,0.29,0.29,NaN,NaN,"69,100",NaN
3-Jan-20,SCAN,WPP ScanGroup Plc,10.75,25,17.7,18.85,18.45,17.9,0.55,3.07%,"3,900",NaN
3-Jan-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,NaN,NaN,NaN,NaN
3-Jan-20,BAMB,Bamburi Cement Ltd,26,120,80,80,80,80,NaN,NaN,"3,200",NaN
3-Jan-20,CRWN,Crown Paints Kenya Plc,45,85,62.5,62.5,62.5,62.5,NaN,NaN,100,NaN
3-Jan-20,CABL,East African Cables Ltd,1.44,3.98,2.35,2.75,2.53,2.55,-0.02,0.78%,"29,200",NaN
3-Jan-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.5,14.5,14.5,14.5,NaN,NaN,NaN,NaN
3-Jan-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,5.72,5.9,5.84,5.8,0.04,0.69%,"81,900",NaN
3-Jan-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,NaN,NaN,NaN,NaN
3-Jan-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,NaN,NaN,NaN,NaN
3-Jan-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,3,3.3,3.25,3.03,0.22,7.26%,"467,500",NaN
3-Jan-20,TOTL,Total Kenya Ltd,22,30,28.5,28.5,28.5,28.1,0.4,1.42%,"14,200",NaN
3-Jan-20,UMME,Umeme Ltd,5.68,8.6,8,8.26,8.22,8.28,-0.06,0.72%,"4,100",NaN
3-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.3,9.5,9.42,9.18,0.24,2.61%,"351,400",NaN
3-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.9,3.09,3,2.81,0.19,6.76%,"47,900",NaN
3-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,350,NaN,NaN,NaN,NaN
3-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3.01,3.2,3.05,3.03,0.02,0.66%,"39,100",NaN
3-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.5,10.5,10.5,10.45,0.05,0.48%,100,NaN
3-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,18,NaN,NaN,NaN,NaN
3-Jan-20,CTUM,Centum Investment Company Plc,19.6,33.5,29.55,29.95,29.6,29.6,NaN,NaN,"24,200",NaN
3-Jan-20,HAFR,Home Afrika Ltd,0.3,0.69,0.55,0.6,0.56,0.55,0.01,1.82%,"42,400",NaN
3-Jan-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",NaN,NaN,NaN,NaN
3-Jan-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.01,2.01,2.01,2.01,NaN,NaN,NaN,NaN
3-Jan-20,TCL,Trans-Century Plc,1.42,4.03,2.5,2.5,2.5,2.5,NaN,NaN,NaN,NaN
3-Jan-20,NSE,Nairobi Securities Exchange Plc,7,13,12.6,12.6,12.6,12.55,0.05,0.40%,"5,500",NaN
3-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,58,4,6.90%,"1,100",NaN
3-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,472,472,472,478,-6,1.26%,200,NaN
3-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8.2,8.3,8.22,8.18,0.04,0.49%,900,NaN
3-Jan-20,EABL,East African Breweries Ltd,135,222.25,196,197.5,197.5,196,1.5,0.77%,"12,800",NaN
3-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,NaN,NaN,800,NaN
3-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,NaN,NaN,NaN,NaN
3-Jan-20,UNGA,Unga Group Ltd,26.1,37,33.8,33.8,33.8,34,-0.2,0.59%,100,NaN
3-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31,31.8,31.55,31.3,0.25,0.80%,"905,000",NaN
3-Jan-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,9.62,9.62,9.62,9.62,NaN,NaN,NaN,NaN
3-Jan-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,470.00","1,470.00","1,470.00","1,470.00",NaN,NaN,NaN,NaN
3-Jan-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,220.81,224.63,223.86,221.55,2.31,1.04%,NaN,NaN
3-Jan-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,228.6,232.71,231.87,229.61,2.26,0.98%,NaN,NaN
3-Jan-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","2,707.90","2,707.90","2,707.90","2,673.94",33.96,1.27%,NaN,NaN
3-Jan-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","4,136.91","4,136.91","4,136.91","4,101.89",35.02,0.85%,NaN,NaN
3-Jan-20,^NASI,NSE All-Share Index,124.3,171.36,167.37,167.37,167.37,165.98,1.39,0.84%,NaN,NaN
3-Jan-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,208.26","2,208.26","2,208.26","2,187.86",20.4,0.93%,NaN,NaN
3-Jan-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,883.42","1,883.42","1,883.42","1,866.02",17.4,0.93%,NaN,NaN
6-Jan-20,EGAD,Eaagads Ltd,8.2,14,10.4,10.4,10.4,10.5,-0.1,0.95%,500,NaN
6-Jan-20,KUKZ,Kakuzi Plc,300,423.5,340,340,340,340,NaN,NaN,NaN,NaN
6-Jan-20,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,NaN,NaN,100,NaN
6-Jan-20,LIMT,Limuru Tea Plc,385,475,450,450,450,450,NaN,NaN,NaN,NaN
6-Jan-20,SASN,Sasini Plc,14.8,19.6,16.15,16.5,16.25,17.15,-0.9,5.25%,"2,000",NaN
6-Jan-20,WTK,Williamson Tea Kenya Plc,92,165,139,139,139,138.25,0.75,0.54%,300,NaN
6-Jan-20,CGEN,Car and General (K) Ltd,20,26,24,24,24,26,-2,7.69%,100,NaN
6-Jan-20,ABSA,ABSA Bank Kenya Plc,9.1,14.2,13.35,13.5,13.45,13.35,0.1,0.75%,"254,100",NaN
6-Jan-20,BKG,BK Group Plc,16.4,28,28,28,28,28,NaN,NaN,NaN,NaN
6-Jan-20,COOP,Co-operative Bank of Kenya Ltd,10.5,17,16.4,16.75,16.55,16.55,NaN,NaN,"70,000",NaN
6-Jan-20,DTK,Diamond Trust Bank Kenya Ltd,67.75,127,110,113,110.25,110,0.25,0.23%,"8,700",NaN
6-Jan-20,EQTY,Equity Group Holdings Plc,30.5,55.5,53.75,55.25,54.5,55,-0.5,0.91%,"1,766,300",NaN
6-Jan-20,HFCK,HF Group Ltd,3.49,7.9,6.32,6.98,6.5,6.56,-0.06,0.91%,"65,800",NaN
6-Jan-20,IMH,I & M Holdings Plc,43.1,59,55,57,56,55.75,0.25,0.45%,"38,700",NaN
6-Jan-20,KCB,KCB Group Plc,33.75,55.5,53.5,54.5,53.75,55,-1.25,2.27%,"152,700",NaN
6-Jan-20,NBK,National Bank of Kenya Ltd,3.4,4.33,4.12,4.12,4.12,4.12,NaN,NaN,NaN,NaN
6-Jan-20,NCBA,NCBA Group Plc,24.9,40,36.6,37.85,37.3,37.3,NaN,NaN,"57,700",NaN
6-Jan-20,SBIC,Stanbic Holdings Plc,76.5,118.5,108,108,108,103.75,4.25,4.10%,200,NaN
6-Jan-20,SCBK,Standard Chartered Bank Kenya Ltd,161,220,204,205,204.75,204.25,0.5,0.24%,"11,300",NaN
6-Jan-20,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,NaN,NaN,NaN,NaN
6-Jan-20,EVRD,Eveready East Africa Ltd,0.75,1.28,1.02,1.12,1.09,1.11,-0.02,1.80%,"1,800",NaN
6-Jan-20,XPRS,Express Kenya Plc,4.15,7.34,6.84,6.84,6.84,6.84,NaN,NaN,NaN,NaN
6-Jan-20,KQ,Kenya Airways Plc,0.8,5.5,2.08,2.15,2.1,2.18,-0.08,3.67%,"5,500",NaN
6-Jan-20,LKL,Longhorn Publishers Plc,4.26,8.6,6.6,6.8,6.78,6.9,-0.12,1.74%,"9,900",NaN
6-Jan-20,NBV,Nairobi Business Ventures Ltd,0.49,0.99,0.7,0.7,0.7,0.7,NaN,NaN,100,NaN
6-Jan-20,NMG,Nation Media Group Plc,13,49,39,39.75,39.35,39.75,-0.4,1.01%,"3,700",NaN
6-Jan-20,SMER,Sameer Africa Plc,1.91,4.69,3.4,3.4,3.4,3.4,NaN,NaN,300,NaN
6-Jan-20,SGL,Standard Group Plc,18,31,25.2,25.2,25.2,27.55,-2.35,8.53%,100,NaN
6-Jan-20,TPSE,TPS Eastern Africa (Serena) Ltd,11.5,21.15,17.55,17.55,17.55,17.55,NaN,NaN,NaN,NaN
6-Jan-20,UCHM,Uchumi Supermarket Plc,0.23,0.46,0.27,0.31,0.28,0.29,-0.01,3.45%,"87,000",NaN
6-Jan-20,SCAN,WPP ScanGroup Plc,10.75,25,18.2,18.45,18.25,18.45,-0.2,1.08%,"2,600",NaN
6-Jan-20,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,NaN,NaN,NaN,NaN
6-Jan-20,BAMB,Bamburi Cement Ltd,26,120,80,80,80,80,NaN,NaN,NaN,NaN
6-Jan-20,CRWN,Crown Paints Kenya Plc,45,85,62.5,62.5,62.5,62.5,NaN,NaN,NaN,NaN
6-Jan-20,CABL,East African Cables Ltd,1.44,3.98,2.53,2.53,2.53,2.53,NaN,NaN,NaN,NaN
6-Jan-20,PORT,East African Portland Cement Ltd,12.6,18.5,14.5,14.5,14.5,14.5,NaN,NaN,NaN,NaN
6-Jan-20,KEGN,Kenya Electricity Generating Company Plc,4,6.5,5.74,6,5.8,5.84,-0.04,0.68%,"317,800",NaN
6-Jan-20,KPLC-P4,KPLC-P4,5,5,5,5,5,5,NaN,NaN,NaN,NaN
6-Jan-20,KPLC-P7,KPLC-P7,6,6,6,6,6,6,NaN,NaN,NaN,NaN
6-Jan-20,KPLC,Kenya Power and Lighting Company Plc,1.63,4.15,3.04,3.23,3.15,3.25,-0.1,3.08%,"113,400",NaN
6-Jan-20,TOTL,Total Kenya Ltd,22,30,28.5,28.95,28.55,28.5,0.05,0.18%,"4,600",NaN
6-Jan-20,UMME,Umeme Ltd,5.68,8.6,8,8.2,8,8.22,-0.22,2.68%,"75,700",NaN
6-Jan-20,BRIT,Britam Holdings Plc,5.7,10.65,9.4,10.35,9.94,9.42,0.52,5.52%,"545,200",NaN
6-Jan-20,CIC,CIC Insurance Group Ltd,2,3.65,2.8,3.1,3,3,NaN,NaN,"155,200",NaN
6-Jan-20,JUB,Jubilee Holdings Ltd,225,380.5,350,350,350,350,NaN,NaN,NaN,NaN
6-Jan-20,KNRE,Kenya Re-Insurance Corporation Ltd,2,4.36,3,3.3,3.26,3.05,0.21,6.89%,"81,400",NaN
6-Jan-20,LBTY,Liberty Kenya Holdings Ltd,6.8,11,10.4,10.5,10.5,10.5,NaN,NaN,"5,500",NaN
6-Jan-20,SLAM,Sanlam Kenya Plc,12.8,20,18,18,18,18,NaN,NaN,"23,200",NaN
6-Jan-20,CTUM,Centum Investment Company Plc,19.6,33.5,29.5,29.95,29.6,29.6,NaN,NaN,"6,000",NaN
6-Jan-20,HAFR,Home Afrika Ltd,0.3,0.69,0.56,0.6,0.59,0.56,0.03,5.36%,"6,000",NaN
6-Jan-20,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",NaN,NaN,NaN,NaN
6-Jan-20,OCH,Olympia Capital Holdings Ltd,1.9,2.9,2.01,2.01,2.01,2.01,NaN,NaN,NaN,NaN
6-Jan-20,TCL,Trans-Century Plc,1.42,4.03,2.5,2.5,2.5,2.5,NaN,NaN,"1,000",NaN
6-Jan-20,NSE,Nairobi Securities Exchange Plc,7,13,12,13,12.5,12.6,-0.1,0.79%,"20,600",NaN
6-Jan-20,BOC,BOC Kenya Plc,53,72,62,62,62,62,NaN,NaN,NaN,NaN
6-Jan-20,BAT,British American Tobacco Kenya Plc,305,545,470,470,470,472,-2,0.42%,100,NaN
6-Jan-20,CARB,Carbacid Investments Plc,7.1,9.4,8.3,8.3,8.3,8.22,0.08,0.97%,"2,900",NaN
6-Jan-20,EABL,East African Breweries Ltd,135,222.25,197,197.5,197.25,197.5,-0.25,0.13%,"5,600",NaN
6-Jan-20,FTGH,Flame Tree Group Holdings Ltd,0.76,3,2.3,2.3,2.3,2.3,NaN,NaN,200,NaN
6-Jan-20,ORCH,Kenya Orchards Ltd,12.25,12.6,12.5,12.5,12.5,12.5,NaN,NaN,NaN,NaN
6-Jan-20,UNGA,Unga Group Ltd,26.1,37,33.8,33.8,33.8,33.8,NaN,NaN,NaN,NaN
6-Jan-20,SCOM,Safaricom Plc,23.5,33.5,31.05,31.7,31.5,31.55,-0.05,0.16%,"1,901,800",NaN
6-Jan-20,FAHR,Stanlib Fahari Income-REIT,5.5,10,9.6,9.72,9.68,9.62,0.06,0.62%,"4,000",NaN
6-Jan-20,GLD,ABSA NewGold ETF,"1,235.00","1,835.00","1,470.00","1,470.00","1,470.00","1,470.00",NaN,NaN,NaN,NaN
6-Jan-20,^FNK15,FTSE NSE Kenya 15 Index,154.41,227.73,221.71,224.25,222.8,223.86,-1.06,0.47%,NaN,NaN
6-Jan-20,^FNK25,FTSE NSE Kenya 25 Index,162.87,238.71,229.55,232.37,230.46,231.87,-1.41,0.61%,NaN,NaN
6-Jan-20,^N20I,NSE 20-Share Index,"1,873.47","2,766.77","2,706.38","2,706.38","2,706.38","2,707.90",-1.52,0.06%,NaN,NaN
6-Jan-20,^N25I,NSE 25-Share Index,"2,943.60","4,207.90","4,126.93","4,126.93","4,126.93","4,136.91",-9.98,0.24%,NaN,NaN
6-Jan-20,^NASI,NSE All-Share Index,124.3,171.36,167,167,167,167.37,-0.37,0.22%,NaN,NaN
6-Jan-20,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,513.07","2,242.89","2,191.85","2,191.85","2,191.85","2,208.26",-16.41,0.74%,NaN,NaN
6-Jan-20,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,225.28","1,905.40","1,867.57","1,867.57","1,867.57","1,883.42",-15.85,0.84%,NaN,NaN
7-Jan-20,EGAD,Eaagads Ltd,8.2,14,10.4,10.4,10.4,10.4,NaN,NaN,NaN,NaN
7-Jan-20,KUKZ,Kakuzi Plc,300,423.5,340,340,340,340,NaN,NaN,NaN,NaN
7-Jan-20,KAPC,Kapchorua Tea Kenya Plc,59,95,80,80,80,80,NaN,NaN,NaN,NaN
